start,end,total
10577794.457962,10578638.608662,844.1507
10578639.096062,10579357.726362,718.6303
10579357.882462,10580047.561662,689.6792
10580047.677562,10580741.734162,694.0566
10580741.865662,10581436.640762,694.7751
10581436.759862,10582110.777062,674.0172
10582110.932562,10582802.772562,691.84
10582802.921062,10583491.061762,688.1407
10583491.183162,10584211.920462,720.7373
10584212.038662,10584899.902062,687.8634
10584900.021462,10585630.823162,730.8017
10585630.934462,10586329.539562,698.6051
10586329.672762,10587028.623862,698.9511
10587028.730162,10587737.945862,709.2157
10587738.048362,10588436.885662,698.8373
10588437.014362,10589125.890362,688.876
10589125.988662,10589796.750862,670.7622
10589796.862562,10590492.273262,695.4107
10590492.385962,10591178.975362,686.5894
10591179.090962,10591858.016762,678.9258
10591858.140162,10592547.558662,689.4185
10592547.673662,10593237.476462,689.8028
10593237.605662,10593903.206262,665.6006
10593903.329662,10594571.031762,667.7021
10594571.147562,10595265.760662,694.6131
10595265.857462,10595957.987662,692.1302
10595958.108062,10596626.739362,668.6313
10596626.863062,10597315.271562,688.4085
10597315.390462,10597993.288862,677.8984
10597993.403262,10598679.410562,686.0073
10598679.525062,10599361.589462,682.0644
10599361.691462,10600027.944462,666.253
10600028.059262,10600718.084662,690.0254
10600718.207262,10601412.075362,693.8681
10601412.192862,10602078.371562,666.1787
10602078.490062,10602759.916162,681.4261
10602760.045062,10603467.806662,707.7616
10603467.916662,10604154.214962,686.2983
10604154.311862,10604835.824962,681.5131
10604835.941662,10605536.139762,700.1981
10605536.261962,10606213.702462,677.4405
10606213.818262,10606898.229362,684.4111
10606898.348762,10607580.092862,681.7441
10607580.209562,10608265.079762,684.8702
10608265.181262,10608942.437362,677.2561
10608942.551162,10609630.313162,687.762
10609630.437462,10610325.234662,694.7972
10610325.352562,10611053.582862,728.2303
10611053.829762,10611736.965362,683.1356
10611737.081762,10612403.486162,666.4044
