start,end,total,start: 16:20:19 GMT+0200 (czas środkowoeuropejski letni),end: 18:20:50 GMT+0200 (czas środkowoeuropejski letni)
85,146317,146232,
146328,290872,144544,
290876,435521,144645,
435533,580029,144496,
580047,724697,144650,
724702,869142,144440,
869152,1013581,144429,
1013591,1158992,145401,
1159000,1304309,145309,
1304325,1448742,144417,
1448748,1592864,144116,
1592869,1737167,144298,
1737174,1881489,144315,
1881565,2025878,144313,
2025884,2170167,144283,
2170182,2315487,145305,
2315492,2459886,144394,
2459891,2605201,145310,
2605206,2749627,144421,
2749633,2894969,145336,
2894979,3039386,144407,
3039390,3184698,145308,
3184722,3330063,145341,
3330068,3474503,144435,
3474507,3618898,144391,
3618904,3763227,144323,
3763234,3907580,144346,
3907595,4051892,144297,
4051896,4196265,144369,
4196270,4340543,144273,
4340548,4485956,145408,
4485961,4630301,144340,
4630306,4774649,144343,
4774665,4918989,144324,
4918994,5063330,144336,
5063334,5207597,144263,
5207601,5352903,145302,
5352908,5498242,145334,
5498248,5643543,145295,
5643558,5787855,144297,
5787860,5932126,144266,
5932131,6076463,144332,
6076468,6220627,144159,
6220632,6364970,144338,
6364975,6509251,144276,
6509261,6653590,144329,
6653595,6797824,144229,
6797845,6942116,144271,
6942121,7086393,144272,
7086398,7230740,144342,
